Order_ID,Order_Date,Product,Category,Sales,Quantity
ORD-00001,2023-10-10,Canon R5,Accessories,5053.25,5
ORD-00002,2024-01-29,Sony WH-1000,Camera,6352.54,4
ORD-00003,2023-05-16,MacBook Pro,Accessories,1749.93,1
ORD-00004,2024-04-22,Samsung S24,Camera,2839.07,2
ORD-00005,2024-05-28,DJI Mini 4,Accessories,3760.42,2
ORD-00006,2024-01-04,MacBook Pro,Accessories,1987.71,2
ORD-00007,2024-10-18,Canon R5,Accessories,589.06,1
ORD-00008,2023-03-21,Nikon Z6,Electronics,431.11,3
ORD-00009,2023-08-01,Samsung S24,Camera,614.23,1
ORD-00010,2023-09-10,iPhone 15,Electronics,522.77,5
ORD-00011,2023-03-31,iPad Air,Accessories,8961.06,5
ORD-00012,2023-10-05,Samsung S24,Accessories,6713.85,4
ORD-00013,2024-08-02,Samsung S24,Accessories,5419.92,4
ORD-00014,2023-04-06,MacBook Pro,Camera,5573.38,5
ORD-00015,2023-07-02,Galaxy Tab,Electronics,608.18,1
ORD-00016,2024-06-20,DJI Mini 4,Accessories,7638.48,5
ORD-00017,2023-01-21,Galaxy Tab,Electronics,1676.85,4
ORD-00018,2023-08-20,iPhone 15,Electronics,1869.02,1
ORD-00019,2024-05-03,iPhone 15,Accessories,1552.5,3
ORD-00020,2024-06-02,iPhone 15,Electronics,969.87,2
ORD-00021,2024-04-26,Dell XPS 13,Accessories,6599.37,5
ORD-00022,2024-05-09,Galaxy Tab,Accessories,4954.87,5
ORD-00023,2024-03-09,MacBook Pro,Electronics,5760.19,4
ORD-00024,2024-08-29,Canon R5,Accessories,765.78,4
ORD-00025,2024-01-10,Canon R5,Accessories,9374.02,5
ORD-00026,2024-05-26,DJI Mini 4,Accessories,5920.94,3
ORD-00027,2023-08-29,Samsung S24,Electronics,4139.38,4
ORD-00028,2024-08-19,MacBook Pro,Electronics,2646.0,5
ORD-00029,2023-05-23,Galaxy Tab,Camera,1686.69,1
ORD-00030,2023-04-21,Canon R5,Camera,4000.5,3
ORD-00031,2024-04-03,iPad Air,Accessories,1965.97,1
ORD-00032,2023-01-20,MacBook Pro,Accessories,3517.34,4
ORD-00033,2024-01-27,Dell XPS 13,Accessories,3352.32,3
ORD-00034,2023-12-14,DJI Mini 4,Accessories,1322.2,2
ORD-00035,2024-07-20,MacBook Pro,Camera,5677.93,5
ORD-00036,2023-02-23,MacBook Pro,Camera,2653.64,4
ORD-00037,2024-08-19,iPhone 15,Accessories,1897.06,2
ORD-00038,2023-04-21,Canon R5,Camera,1984.19,1
ORD-00039,2023-03-30,Sony WH-1000,Camera,1226.25,5
ORD-00040,2024-02-16,Canon R5,Camera,3829.62,2
ORD-00041,2023-05-06,Sony WH-1000,Camera,2777.68,2
ORD-00042,2024-02-08,iPhone 15,Accessories,1369.93,3
ORD-00043,2023-03-23,Dell XPS 13,Camera,6999.65,4
ORD-00044,2024-07-12,Galaxy Tab,Accessories,1561.37,3
ORD-00045,2023-11-23,Canon R5,Electronics,970.99,4
ORD-00046,2023-04-05,Nikon Z6,Accessories,4563.04,3
ORD-00047,2024-08-17,Samsung S24,Camera,3149.47,4
ORD-00048,2024-06-28,iPhone 15,Electronics,4404.48,3
ORD-00049,2023-08-02,iPhone 15,Accessories,1342.51,1
ORD-00050,2024-10-14,Canon R5,Electronics,6933.57,5
ORD-00051,2024-08-16,MacBook Pro,Accessories,173.93,1
ORD-00052,2024-03-18,Dell XPS 13,Accessories,5822.61,3
ORD-00053,2023-05-13,iPhone 15,Electronics,1066.79,5
ORD-00054,2024-07-17,Sony WH-1000,Camera,1994.74,1
ORD-00055,2023-12-22,Dell XPS 13,Camera,191.15,1
ORD-00056,2023-01-12,Samsung S24,Camera,691.22,1
ORD-00057,2023-07-15,Galaxy Tab,Electronics,1724.71,1
ORD-00058,2023-07-16,iPhone 15,Accessories,944.24,3
ORD-00059,2023-05-21,Nikon Z6,Accessories,4305.44,4
ORD-00060,2023-01-13,Samsung S24,Accessories,1223.44,5
ORD-00061,2024-12-30,Sony WH-1000,Camera,6967.98,4
ORD-00062,2024-08-17,MacBook Pro,Accessories,514.38,4
ORD-00063,2024-12-12,Samsung S24,Electronics,3099.43,2
ORD-00064,2023-03-17,Nikon Z6,Electronics,1168.55,4
ORD-00065,2024-04-19,Galaxy Tab,Camera,1542.92,4
ORD-00066,2024-05-16,Sony WH-1000,Electronics,423.61,1
ORD-00067,2023-08-03,Nikon Z6,Camera,231.89,1
ORD-00068,2024-08-07,MacBook Pro,Accessories,620.46,1
ORD-00069,2024-08-09,Nikon Z6,Accessories,8913.19,5
ORD-00070,2023-03-29,Dell XPS 13,Camera,1492.52,2
ORD-00071,2023-01-02,Sony WH-1000,Electronics,1430.7,1
ORD-00072,2024-04-06,Sony WH-1000,Camera,3623.65,5
